year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2007,2.15935,2.05995,1.9494,1.8296,1.87182,1.85531,1.78761,1.81104,1.74564,1.67583,1.67713,1.64547,1.67618,1.68841,1.72243,1.66109,1.69739,1.75483,1.76708,1.79329,1.77708,1.77914,1.84689,1.88231,1.87744,1.92464,2.04812,2.32335,2.50831,2.68707,2.85045,2.96796,3.12946,2.92086,2.89055,3.06579,3.09592,3.0105,3.00098,3.27425,3.35141,3.36137,2.19054,3.40667,3.47751,3.45387,3.50919,3.44431,3.67759,3.57522,3.54744,3.59921,3.63951,3.64402,3.57022,3.55894,3.85141,3.7658,3.66738,3.62376,3.73511,3.71175,3.6378,3.5669,3.37802,3.33829,3.28893,3.21607,3.23577,3.21317,3.07615,3.16977,3.29707,3.24171,3.08447,2.94724,2.85009,2.78243,2.84804,2.77162,2.71697,2.65509,2.88963,2.7278,2.61972,2.56607,2.67353,2.62152,2.5265,2.42866,2.35845,2.4482,2.40411,2.27379,2.217,2.19347,353,6.333156701030927
2007,2.2646,2.1114,2.17575,2.07243,2.02319,1.95818,1.8818,1.91042,1.96501,1.885,1.87228,1.86055,1.81872,1.79743,1.81774,1.78757,1.89333,1.80561,1.74333,1.84401,1.84071,1.97389,1.94505,1.94965,1.98559,2.05419,2.15834,2.17625,2.29995,2.54253,2.59322,2.60221,2.67313,2.86038,3.1082,3.12962,3.12257,3.19718,3.26079,3.22737,3.2639,3.55625,3.68401,3.97408,1.54362,1.60714,1.59233,1.5869,1.58903,1.58614,1.60145,1.53403,1.60119,1.57861,1.59089,1.58983,1.58265,1.56921,1.58477,1.61053,1.5747,1.59408,1.5475,1.59454,1.59158,2.01615,3.91531,3.41463,3.42823,3.25564,3.33835,3.40485,3.57782,4.328,4.98611,4.86101,4.89372,4.58258,4.42201,4.50962,4.47345,4.31929,4.24454,4.27797,4.12506,4.10236,4.30549,4.18543,4.14298,3.91905,3.77541,3.5938,3.7933,3.69689,3.43204,3.13689,354,6.323465051546393
2007,3.38251,3.30196,3.13303,3.00275,3.15006,3.13023,2.78924,2.75666,2.60858,2.73728,2.78289,2.69603,2.4931,2.54915,2.61073,2.77629,2.64149,2.47522,2.88249,2.86636,2.69425,2.62481,2.70757,2.76176,2.68844,2.78042,2.87846,3.03428,3.05904,3.21604,3.29178,3.42429,3.69554,3.89252,3.82483,3.87896,4.21349,4.25842,4.12605,4.34607,4.73276,4.67885,4.48708,4.50277,4.802,4.60041,4.54071,4.69508,4.92939,4.89862,4.98716,4.79282,4.98754,5.00906,5.11706,4.9804,4.84421,4.89829,5.10337,5.13041,4.73038,4.86258,4.89946,5.00775,4.67066,4.56351,4.80803,4.80288,4.51409,4.33183,4.51291,4.87481,4.86499,4.56652,4.72182,4.60726,4.49882,4.35036,4.31577,4.32176,4.14047,4.17092,4.21526,4.04616,3.90148,3.95887,3.84699,3.798,3.52604,3.66503,3.67899,3.25344,3.28321,3.2945,3.25442,3.01119,355,7.5026002061855674
2007,2.69773,2.75654,2.9268,2.80208,2.57667,2.51267,2.66414,2.79715,2.53119,2.46616,2.54384,2.64919,2.64953,2.53127,2.39677,2.444,2.63098,2.62875,2.65026,2.40691,2.52518,2.57229,2.58197,2.65562,2.70183,2.71035,2.77941,2.98076,3.04254,3.05404,3.34659,3.51647,3.54505,3.53594,3.74952,4.00946,4.00828,3.95311,4.24906,4.38126,4.21244,4.20464,4.3745,4.39558,4.40722,4.32548,4.27872,4.48903,4.54323,4.45515,4.38291,4.63423,4.64155,4.58846,4.47403,4.52202,4.67226,4.58854,4.40013,4.20901,4.42247,4.33598,4.36295,4.38411,4.34486,4.19947,4.13447,4.2666,4.18004,3.95347,3.93742,4.10403,4.27776,4.11268,4.0405,3.9974,3.95246,3.84354,3.72675,3.86588,3.83653,3.62135,3.73032,3.78411,3.53249,3.30279,3.54661,3.56475,3.37005,3.14491,3.1743,3.24818,3.05465,2.81365,2.94714,2.94473,356,7.206390618556702
2007,2.66157,2.67563,2.62195,2.73978,2.77725,2.55624,2.56904,2.64612,2.72365,2.41845,2.43265,2.56988,2.71279,2.61923,2.50217,2.58438,2.7273,2.69428,2.40626,2.60095,2.85882,2.97053,2.80852,2.75067,2.88654,3.05239,3.15109,3.11628,3.41703,3.72169,3.78465,3.82116,4.24907,4.37195,4.29764,4.53734,4.78401,4.91173,4.68305,4.82659,4.87226,4.76862,4.76295,5.0531,5.25317,5.0695,4.92319,5.06073,5.22095,5.1324,5.0065,4.96722,4.81636,4.96113,4.8963,4.52611,4.62842,4.72691,4.60618,4.42779,4.51218,4.51355,4.6295,4.45116,4.50082,4.61018,4.56013,4.41655,4.21265,4.40745,4.29857,4.03791,4.056,4.13344,4.20173,3.93896,3.8596,4.02813,4.06442,3.72236,3.60031,3.74261,3.87868,3.70467,3.79,3.60263,3.50219,3.64453,3.45863,3.21795,3.18601,3.1949,3.27548,3.2386,3.09425,3.24622,357,7.4479696907216475
2007,3.47041,3.20529,3.00818,2.91522,2.92827,2.80583,2.61347,2.69736,2.87093,2.63195,2.46888,2.58171,2.6755,2.48441,2.58948,2.73661,2.63867,2.601,2.75194,2.72035,2.62824,2.70869,2.90526,2.85424,2.88584,2.89742,3.16822,3.2757,3.57902,4.00042,3.9576,3.84705,4.10913,4.28054,4.33401,4.59818,4.57467,4.63219,4.56242,4.79834,4.79272,4.776,4.6077,4.72833,4.81429,4.7754,4.78786,4.7573,4.80553,4.6458,4.65941,4.82419,4.78101,4.80881,4.73089,4.65585,4.71205,4.99347,5.07013,4.84729,4.60688,4.67061,4.65814,4.54335,4.49518,4.26136,4.26851,4.30486,4.18063,4.0794,3.90321,4.23853,4.38936,4.33705,4.01517,4.18428,4.23479,4.09071,3.89563,3.75058,3.95525,3.80306,3.80184,3.61872,3.50819,3.83081,3.84196,3.64,3.45929,3.39054,3.28093,3.25125,3.50377,3.40292,3.26976,3.15674,358,7.478246701030928
2007,3.30082,3.21783,3.26334,3.10066,2.7395,2.78171,2.72624,2.78619,2.72423,2.5499,2.6116,2.68001,2.65836,2.52129,2.49172,2.51308,2.6829,2.71029,2.65901,2.51491,2.70044,2.64693,2.78347,2.72062,2.73035,2.85647,2.75054,2.77489,2.95825,3.18276,3.22783,3.245,3.3018,3.35459,3.50788,3.69813,3.66049,3.60375,3.68847,3.80406,3.9612,3.85632,3.84639,3.70166,3.83435,3.78281,3.78001,3.56327,3.48828,3.62584,3.63632,3.5479,3.68875,3.54797,3.39627,3.55869,3.64398,3.53903,3.61637,3.45861,3.77573,3.72215,3.49749,3.55578,3.6345,3.6086,3.6557,3.75983,3.55888,3.5501,3.67252,3.77672,3.81354,3.60346,3.64885,3.68386,3.67988,3.46804,3.53428,3.58056,3.45599,3.44487,3.33179,3.23134,3.34212,3.55308,3.5197,3.29507,3.15669,2.95912,3.10708,2.94146,3.15901,3.04158,2.85285,2.92865,359,6.9546927835051555
2007,3.10702,3.07515,2.93981,2.71468,2.66802,2.70582,2.6257,2.62916,2.58646,2.40013,2.41544,2.43638,2.53622,2.47202,2.5372,2.39553,2.48998,2.51646,2.63946,2.46841,2.40443,2.54203,2.62324,2.91032,2.84381,2.82646,2.95012,3.3531,3.50103,3.54754,3.60115,3.57431,3.64254,3.76668,3.97556,3.96684,3.87388,4.24576,4.20921,4.11148,4.25618,4.35538,4.31101,4.23495,4.36005,4.24555,4.25786,4.23133,4.31174,4.22248,4.17066,4.31038,4.29051,4.25507,4.1479,4.3492,4.4473,4.34991,4.21751,4.19001,4.32421,4.19522,4.13762,4.2032,4.1049,3.96853,3.81575,3.72444,3.81404,3.76267,3.92214,4.05059,4.02255,3.96645,3.96396,3.8526,3.96859,3.81378,3.83305,3.74309,3.63243,3.66014,3.62497,3.59727,3.4133,3.34623,3.51067,3.36714,3.36933,3.36903,3.00798,2.9158,3.14438,3.2092,3.12889,2.97987,360,7.204201340206186
2007,3.08941,3.14691,3.0609,2.7663,2.58149,2.57993,2.64525,2.57886,2.45874,2.31971,2.44101,2.36969,2.45327,2.48341,2.35194,2.45049,2.50208,2.59516,2.49921,2.42407,2.57271,2.64131,2.69331,2.66417,2.66256,2.83442,3.19346,3.40985,3.44102,3.45749,3.5434,3.83396,3.87883,3.96788,4.04417,4.10233,4.22448,4.33435,4.39172,4.37312,4.56147,4.50729,4.31985,4.27815,4.18456,4.22911,4.31625,4.42981,4.31905,4.04553,4.07717,4.22789,4.33252,4.40198,4.17271,4.12682,4.286,4.15467,4.19512,4.37183,4.13394,4.07403,4.07579,4.13045,4.24343,4.08985,4.02418,3.88499,3.99946,4.04898,4.32618,4.4718,4.37418,4.35133,4.33963,4.46666,4.52848,4.20261,4.1299,4.03936,4.09916,4.15725,4.15338,3.9673,3.84508,3.93486,3.85147,3.65653,3.79989,3.64466,3.46912,3.33664,3.54184,3.56735,3.50103,3.29837,361,7.343910412371133
2007,3.24199,3.18177,3.33697,3.03938,2.93931,2.82569,2.83815,2.66092,2.62141,2.60255,2.4631,2.58337,2.57708,2.42937,2.47437,2.4355,2.35971,2.4766,2.67625,2.5445,2.3786,2.50558,2.50936,2.58169,2.74381,2.86656,2.81285,2.81208,2.92936,3.13984,3.2852,3.52363,3.72225,3.73072,3.91344,3.77741,4.06553,4.33796,4.17072,4.25508,4.21493,4.19823,4.25555,4.10736,4.02574,4.06963,4.23206,4.11471,4.18478,4.08009,4.0291,4.23039,4.40363,4.17611,4.12907,4.08107,4.30596,4.41844,4.0002,4.13031,4.2167,4.24537,3.9789,3.85981,3.8947,3.98055,4.19254,3.8809,3.92721,4.05748,4.40734,4.45407,4.39505,4.33749,4.51406,4.40687,4.19016,4.22942,4.23013,4.09427,3.9603,3.87982,3.89701,3.89587,3.92609,3.91008,3.66343,3.5479,3.51599,3.5941,3.36724,3.4085,3.20564,3.13324,3.11561,2.96774,362,7.280810309278352
2007,3.14504,3.0125,2.81477,2.75977,2.59591,2.49942,2.73191,2.62212,2.44408,2.33471,2.41614,2.5192,2.46007,2.45736,2.32483,2.30375,2.34847,2.50139,2.48451,2.35178,2.41098,2.44119,2.57632,2.61132,2.53937,2.48848,2.64819,2.74535,2.87343,3.00048,2.95826,3.12796,3.54127,3.47512,3.6437,3.89647,4.13166,4.10091,4.08318,4.12546,4.0776,4.38517,4.15082,4.04362,4.05576,4.15487,4.11981,3.8329,3.7932,4.18094,4.07918,3.99153,4.00487,4.10036,4.20609,4.06245,4.18506,3.97899,3.9137,3.94958,3.9987,3.9165,3.77125,3.73647,3.83902,3.75812,3.59535,3.52597,3.45457,3.57164,3.82096,3.7009,3.65203,3.74509,3.569,3.62146,3.61175,3.45364,3.36632,3.28133,3.44471,3.54414,3.31814,3.27111,3.04072,3.07474,3.12293,2.87681,2.98773,2.76968,2.68973,2.63239,2.79563,2.68676,2.53025,2.43355,363,7.00023113402062
2007,2.40539,2.48276,2.49629,2.36329,2.31662,2.26233,2.36346,2.33804,2.15283,2.16248,2.15781,2.15875,2.28236,2.37062,2.19576,2.22829,2.23284,2.30367,2.2172,2.39432,2.43845,2.43287,2.43112,2.40127,2.50511,2.52724,2.83913,2.88625,3.07985,3.21711,3.27948,3.45081,3.43893,3.51317,3.62156,3.88942,3.92079,4.07938,4.06418,4.04537,4.43992,4.34404,4.303,4.39759,4.20701,4.28725,4.22866,4.29133,4.12647,4.25675,4.03993,4.04861,4.18006,4.22477,4.42945,4.23343,4.04036,4.25597,4.40458,4.25949,4.17206,4.03124,4.16363,4.02728,3.91487,3.74673,3.52515,3.72727,4.00246,3.82683,3.75966,3.74692,4.03699,3.89218,3.8492,3.71137,3.65734,3.90333,3.90305,3.61591,3.53844,3.43815,3.62435,3.73798,3.37005,3.3421,3.34191,3.24559,3.27314,2.99006,2.90617,2.80977,3.19105,3.21961,2.9013,2.83637,364,7.092008041237113
